"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"914","IFN3",49,770,"A",NA,"49_770_A_1",265000,4621000,"natural",0,45,NA,NA,99.0297423682904,NA,99.0297423682904,99.0297423682904,NA,NA,0,0,0,0,28.2942121052258,42.4413181578388,28.2942121052258,0,0,29.5214285714286,29.8400677421675,29.5214285714286,6.92556388888889,NA,6.92556388888889,6.92556388888889,NA,NA,6.28571428571429,6.28571428571429,30,21.2920396806194,21.2920396806194,131.560532265406,159.868367039821,297.548558367951
"915","IFN3",49,772,"A",NA,"49_772_A_1",299000,4632000,"natural",0,45,NA,NA,651.898646904403,NA,651.898646904403,651.898646904403,NA,NA,0,509.295817894065,95.4929658551372,31.8309886183791,0,0,0,0,15.278874536822,11.0087890625,12.7462103743132,19.9310344827586,8.318253,NA,8.318253,8.318253,NA,NA,5.7060546875,5.27586206896552,40,51.8318105207132,26.4705882352941,221.117442504342,74.2363357478544,138.169389537776
"916","IFN3",49,773,"A",NA,"49_773_A_1",300000,4632000,"plantation",1,26,23,NA,516.369370920372,389.045416446855,127.323954473516,502.222264867759,14.1471060526129,NA,0,0,286.478897565412,159.154943091895,70.7355302630646,0,0,0,0,18.0102739726027,18.1940905655339,22.5827586206897,13.4249,10.8597125,2.5651875,12.8523555555556,0.572544444444444,NA,5.28424657534247,7.36206896551724,80,29.3401787412056,32.6003970071767,310.066591370715,59.7750408678339,111.253886969266
"917","IFN3",49,774,"A",NA,"49_774_A_1",298000,4631000,"natural",0,45,NA,NA,141.471060526129,NA,141.471060526129,141.471060526129,NA,NA,0,0,95.4929658551372,31.8309886183791,14.1471060526129,0,0,0,0,16.45625,16.6522990154513,17.1693548387097,3.08110069444444,NA,3.08110069444444,3.08110069444444,NA,NA,4.4875,4.62903225806452,90,27.2692745917205,26.9610145608267,73.6953332926213,181.625150914637,338.042495952626
"918","IFN3",49,775,"A",NA,"49_775_A_1",299000,4631000,"natural",0,26,45,NA,321.846662696944,NA,321.846662696944,290.015674078565,31.8309886183791,NA,0,0,31.8309886183791,63.6619772367581,70.7355302630646,70.7355302630646,84.8826363156775,0,0,26.7401098901099,27.4288875754445,33.46875,19.01758125,NA,19.01758125,18.36955625,0.648025,NA,9.93956043956044,10.9375,70,37.1709782809707,32.6797385620915,373.490404209469,50.9632867390251,94.8533645503007
"919","IFN3",49,776,"A",NA,"49_776_A_1",300000,4631000,"plantation",1,26,45,23,866.510245722541,820.532151051549,45.978094670992,343.067321775863,509.295817894065,14.1471060526129,0,509.295817894065,159.154943091895,127.323954473516,70.7355302630646,0,0,0,0,12.52,13.8495347302679,24.0741379310345,13.0537097222222,11.6008506944444,1.45285902777778,9.68472361111111,2.552975,0.816011111111111,4.23061224489796,7.08,NA,33.7908326269805,29.409152760868,335.802138959397,47.9821706731963,89.3048823574854
"920","IFN3",49,777,"A",NA,"49_777_A_4C",297000,4630000,"natural",0,45,NA,NA,190.985931710274,NA,190.985931710274,190.985931710274,NA,NA,0,127.323954473516,63.6619772367581,0,0,0,0,0,0,10.7833333333333,11.0046581046391,10.7833333333333,1.8165375,NA,1.8165375,1.8165375,NA,NA,3.66666666666667,3.66666666666667,40,34.0030911901082,34.0030911901082,51.1726648200941,197.345796697709,367.301914660527
"921","IFN3",49,778,"A",NA,"49_778_A_1",299000,4630000,"natural",0,26,45,NA,278.556518175948,NA,278.556518175948,232.578423504956,45.978094670992,NA,0,0,0,31.8309886183791,42.4413181578388,56.5884242104517,99.0297423682904,28.2942121052258,20.3718327157626,32.5805738953784,33.4339617473143,39.6403225806452,24.4556319166667,NA,24.4556319166667,22.9292395555556,1.52639236111111,NA,10.3953783646521,10.760752688172,60,31.9066766534973,27.1459765905793,444.161689694219,55.6801872490308,103.632505619326
"922","IFN3",49,779,"A",NA,"49_779_A_1",300000,4630000,"natural",0,23,26,NA,496.70489350724,NA,496.70489350724,435.023511117847,61.6813823893923,NA,0,127.323954473516,95.4929658551372,127.323954473516,14.1471060526129,42.4413181578388,42.4413181578388,42.4413181578388,5.09295817894065,20.490757618912,22.89989438969,37.2375,20.4576280833333,NA,20.4576280833333,12.7619826388889,7.69564544444444,NA,6.91996582170322,9.91304347826087,60,33.7711564911412,26.6211305223521,431.456940240431,45.2630452719215,84.244019735617
"923","IFN3",49,78,"A",NA,"49_78_A_4C",684000,4657000,"plantation",0,21,NA,NA,95.4929658551372,NA,95.4929658551372,95.4929658551372,NA,NA,0,0,63.6619772367581,31.8309886183791,0,0,0,0,0,15.7833333333333,15.9250588695929,15.7833333333333,1.90205625,NA,1.90205625,1.90205625,NA,NA,6.86666666666667,6.86666666666667,40,43.50580781415,43.50580781415,46.3039187801472,149.02816135143,277.372662193386
"924","IFN3",49,780,"A",NA,"49_780_A_4",296000,4629000,"natural",0,45,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,31.8309886183791,0,0,0,0,0,0,14.45,14.45,14.45,0.52200625,NA,0.52200625,0.52200625,NA,NA,4.5,4.5,60,31.1418685121107,31.1418685121107,13.2051794682939,393.878633534559,733.090740527512
"925","IFN3",49,781,"A",NA,"49_781_A_4C",297000,4629000,"natural",0,45,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,31.8309886183791,0,0,0,0,0,0,16.65,16.65,16.65,0.69305625,NA,0.69305625,0.69305625,NA,NA,6,6,70,36.036036036036,36.036036036036,16.577775923657,295.408975150919,549.818055395634
"926","IFN3",49,782,"A",NA,"49_782_A_1",298000,4629000,"natural",0,45,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,0,31.8309886183791,0,0,0,0,0,17.55,17.55,17.55,0.77000625,NA,0.77000625,0.77000625,NA,NA,4.5,4.5,80,25.6410256410256,25.6410256410256,18.0393627698903,393.878633534559,733.090740527512
"927","IFN3",49,783,"A",NA,"49_783_A_1",299000,4629000,"natural",0,26,25,NA,481.001605788839,NA,481.001605788839,435.023511117847,45.978094670992,NA,0,0,0,127.323954473516,282.942121052258,28.2942121052258,42.4413181578388,0,0,24.8779411764706,25.2041655929192,30.49375,23.9983319444444,NA,23.9983319444444,22.2067625,1.79156944444444,NA,9.40073529411765,9.875,80,37.7874327599456,32.3836851813896,487.321859621724,46.1731636952943,85.937940989915
"928","IFN3",49,784,"A",NA,"49_784_A_1",300000,4629000,"natural",0,26,23,25,378.435086907396,NA,378.435086907396,304.162780131178,42.4413181578388,31.8309886183791,0,0,31.8309886183791,63.6619772367581,70.7355302630646,127.323954473516,56.5884242104517,28.2942121052258,0,27.7448598130841,28.5644140087549,35.04375,24.2511263888889,NA,24.2511263888889,20.1809340277778,3.17243611111111,0.89775625,10.4065420560748,10.875,80,37.5080001347391,31.0326377742108,468.702552575867,47.2688500088239,87.9772430047596
"929","IFN3",49,785,"A",NA,"49_785_A_1",301000,4629000,"natural",1,26,23,NA,484.538382301992,470.39127624938,14.1471060526129,413.802852038928,70.7355302630646,NA,0,0,0,31.8309886183791,212.206590789194,212.206590789194,28.2942121052258,0,0,27.3624087591241,27.611563020024,32.525,29.0134951388889,28.2302701388889,0.783225,25.0277451388889,3.98575,NA,10.985401459854,12.8125,80,40.1477865364865,39.3927747886241,568.310280964656,35.457003406143,65.9929193179127
"930","IFN3",49,786,"A",NA,"49_786_A_1",297000,4628000,"natural",0,45,NA,NA,159.154943091895,NA,159.154943091895,159.154943091895,NA,NA,0,127.323954473516,31.8309886183791,0,0,0,0,0,0,9.51,9.86430433431572,9.51,1.21630625,NA,1.21630625,1.21630625,NA,NA,3.6,3.6,80,37.8548895899054,37.8548895899054,35.7769315722681,220.184849867001,409.810182373794
"931","IFN3",49,787,"A",NA,"49_787_A_1",298000,4628000,"natural",0,26,23,NA,148.544613552436,NA,148.544613552436,120.25040144721,28.2942121052258,NA,0,0,31.8309886183791,31.8309886183791,14.1471060526129,56.5884242104517,14.1471060526129,0,0,25.2630952380952,25.9666968488118,27.4075757575758,7.86647569444444,NA,7.86647569444444,5.43618125,2.43029444444444,NA,8.36904761904762,8.74242424242424,80,33.1275623203431,31.8978384653657,157.870872903726,93.8511650535362,174.676700462428
"932","IFN3",49,788,"A",NA,"49_788_A_1",299000,4628000,"natural",0,26,23,NA,145.007837039282,NA,145.007837039282,99.0297423682904,45.978094670992,NA,0,0,0,31.8309886183791,56.5884242104517,42.4413181578388,14.1471060526129,0,0,26.9365853658537,27.2707428324596,28.38125,8.46984166666667,NA,8.46984166666667,6.17924166666667,2.2906,NA,9.41463414634146,9.8125,80,34.9511046722202,34.5738824047567,166.721417534723,84.6300491219957,157.514269877957
"933","IFN3",49,789,"A",NA,"49_789_A_1",300000,4628000,"natural",0,26,23,25,251.111132433879,NA,251.111132433879,205.133037762887,14.1471060526129,31.8309886183791,0,0,31.8309886183791,63.6619772367581,56.5884242104517,42.4413181578388,42.4413181578388,14.1471060526129,0,25.5647887323944,26.6342903516353,32.5125,13.9906569444444,NA,13.9906569444444,11.8124541666667,1.65980277777778,0.5184,8.23943661971831,9.0625,40,32.2296292215305,27.8738946559016,277.974697374843,69.6336238427497,129.602777409901
"934","IFN3",49,79,"A",NA,"49_79_A_4C",682000,4656000,"natural",0,43,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,31.8309886183791,0,0,0,0,0,0,12.55,12.55,12.55,0.39375625,NA,0.39375625,0.39375625,NA,NA,7.1,7.1,40,56.5737051792829,56.5737051792829,10.5312420165252,249.641387451481,464.634976390677
"935","IFN3",49,790,"A",NA,"49_790_A_1",301000,4628000,"natural",0,26,45,NA,394.138374625796,NA,394.138374625796,234.983431533901,159.154943091895,NA,0,0,159.154943091895,31.8309886183791,84.8826363156775,28.2942121052258,84.8826363156775,0,5.09295817894065,22.7869167264896,24.5231749212795,34.75625,18.6162410833333,NA,18.6162410833333,16.4676535833333,2.1485875,NA,9.26310122038765,12.6114130434783,50,40.6509635839384,36.2853099614552,382.142732177736,39.9403521437159,74.337371558382
"936","IFN3",49,791,"A",NA,"49_791_A_1",302000,4628000,"natural",0,26,23,NA,74.2723067762178,NA,74.2723067762178,60.1252007236049,14.1471060526129,NA,0,0,0,31.8309886183791,14.1471060526129,14.1471060526129,0,14.1471060526129,0,26.9666666666667,27.6001035194746,26.9666666666667,4.44363333333333,NA,4.44363333333333,2.86023055555556,1.58340277777778,NA,9.47619047619048,9.47619047619048,60,35.1403849549709,35.1403849549709,87.0552345165315,122.448300566691,227.901966992314
