Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
49,49,32,A,NA,266,663000,4660000,154,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,33,A,NA,266,666000,4660000,154,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,34,A,NA,266,676000,4660000,100,1,NA,NA,NA,NA,NA,NA,30,1,1,6,X
49,49,37,A,NA,266,676000,4658000,100,1,NA,NA,NA,NA,NA,NA,50,1,2,6,X
49,49,38,A,NA,266,675000,4656000,100,1,NA,NA,NA,NA,NA,NA,40,1,1,6,X
49,49,39,A,NA,266,669000,4655000,100,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,40,A,NA,266,670000,4654000,94,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,41,A,NA,266,670000,4653000,94,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,42,A,NA,266,671000,4653000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,3,X
49,49,45,A,NA,267,694000,4670000,189,1,NA,NA,NA,NA,NA,NA,90,1,1,3,X
49,49,46,A,NA,267,698000,4670000,189,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,47,A,NA,267,701000,4670000,181,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,48,A,NA,267,703000,4670000,181,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,49,A,NA,267,704000,4670000,181,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,50,A,NA,267,696000,4669000,189,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,51,A,NA,267,703000,4669000,181,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,52,A,NA,267,704000,4669000,181,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,53,A,NA,267,687000,4668000,85,1,NA,NA,NA,NA,NA,NA,90,1,1,3,X
49,49,54,A,NA,267,693000,4668000,224,1,NA,NA,NA,NA,NA,NA,50,1,3,3,X
49,49,55,A,NA,267,697000,4667000,189,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,56,A,NA,267,704000,4667000,181,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,57,A,NA,267,694000,4666000,224,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,58,A,NA,267,698000,4666000,189,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,59,A,NA,267,701000,4666000,181,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,60,A,NA,267,704000,4666000,181,1,NA,NA,NA,NA,NA,NA,80,1,2,3,X
49,49,64,A,NA,267,696000,4664000,179,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,65,A,NA,267,701000,4664000,181,1,NA,NA,NA,NA,NA,NA,20,2,2,3,X
49,49,66,A,NA,267,691000,4663000,50,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,67,A,NA,267,697000,4663000,179,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,68,A,NA,267,688000,4662000,50,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,69,A,NA,267,697000,4661000,179,3,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,70,A,NA,267,703000,4661000,143,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,71,A,NA,267,690000,4660000,50,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,72,A,NA,267,700000,4660000,179,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,73,A,NA,267,702000,4660000,143,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,74,A,NA,267,683000,4658000,174,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,75,A,NA,267,686000,4658000,50,1,NA,NA,NA,NA,NA,NA,20,1,1,11,X
49,49,76,A,NA,267,688000,4658000,50,1,NA,NA,NA,NA,NA,NA,50,1,2,3,X
49,49,78,A,NA,267,684000,4657000,174,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,79,A,NA,267,682000,4656000,100,1,NA,NA,NA,NA,NA,NA,40,1,1,11,X
49,49,80,A,NA,267,684000,4656000,174,1,NA,NA,NA,NA,NA,NA,30,1,2,11,X
49,49,81,A,NA,267,688000,4656000,174,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,82,A,NA,267,701000,4656000,166,1,NA,NA,NA,NA,NA,NA,50,1,2,7,X
49,49,83,A,NA,267,683000,4655000,174,1,NA,NA,NA,NA,NA,NA,0,1,1,11,X
49,49,84,A,NA,267,702000,4655000,166,1,NA,NA,NA,NA,NA,NA,20,1,2,7,X
49,49,85,A,NA,267,694000,4654000,166,1,NA,NA,NA,NA,NA,NA,15,1,1,3,X
49,49,86,A,NA,267,695000,4654000,166,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,87,A,NA,267,696000,4654000,166,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,88,A,NA,267,703000,4654000,166,1,NA,NA,NA,NA,NA,NA,40,1,2,7,X
49,49,89,A,NA,267,704000,4654000,166,1,NA,NA,NA,NA,NA,NA,20,1,2,7,X
49,49,90,A,NA,267,693000,4653000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,3,X
49,49,91,A,NA,267,694000,4653000,166,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,92,A,NA,267,695000,4653000,166,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,93,A,NA,267,696000,4653000,166,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,94,A,NA,267,697000,4653000,166,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,95,A,NA,267,698000,4653000,166,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,96,A,NA,267,704000,4653000,166,1,NA,NA,NA,NA,NA,NA,30,1,2,7,X
