Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
34,34,471,A,NA,164,354000,4718000,129,1,NA,NA,NA,NA,NA,NA,80,1,2,21,X
34,34,472,A,NA,164,355000,4718000,129,1,NA,NA,NA,NA,NA,NA,75,1,2,21,X
34,34,474,A,NA,164,374000,4718000,208,1,NA,NA,NA,NA,NA,NA,80,1,2,23,X
34,34,475,A,NA,164,355000,4717000,129,1,NA,NA,NA,NA,NA,NA,80,1,2,21,X
34,34,476,A,NA,164,357000,4717000,157,1,NA,NA,NA,NA,NA,NA,70,1,2,21,X
34,34,477,A,NA,164,359000,4717000,157,1,NA,NA,NA,NA,NA,NA,80,1,1,21,X
34,34,478,A,NA,164,371000,4717000,37,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,479,A,NA,164,372000,4717000,37,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,480,A,NA,164,373000,4717000,208,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,481,A,NA,164,374000,4717000,208,1,NA,NA,NA,NA,NA,NA,80,1,2,23,X
34,34,483,A,NA,164,373000,4716000,208,1,NA,NA,NA,NA,NA,NA,80,1,2,23,X
34,34,484,A,NA,164,374000,4716000,208,1,NA,NA,NA,NA,NA,NA,80,1,2,23,X
34,34,485,A,NA,164,371000,4715000,208,1,NA,NA,NA,NA,NA,NA,,1,2,23,X
34,34,486,A,NA,164,372000,4715000,208,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,488,A,NA,164,375000,4715000,234,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,489,A,NA,164,359000,4714000,157,1,NA,NA,NA,NA,NA,NA,,1,1,21,X
34,34,490,A,NA,164,362000,4714000,157,1,NA,NA,NA,NA,NA,NA,75,1,3,21,X
34,34,491,A,NA,164,372000,4714000,208,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,492,A,NA,164,374000,4714000,234,1,NA,NA,NA,NA,NA,NA,85,1,2,23,X
34,34,493,A,NA,164,375000,4714000,234,1,NA,NA,NA,NA,NA,NA,85,1,3,23,X
34,34,494,A,NA,164,355000,4713000,157,1,NA,NA,NA,NA,NA,NA,80,1,3,21,X
34,34,495,A,NA,164,358000,4713000,157,1,NA,NA,NA,NA,NA,NA,80,1,2,21,X
34,34,496,A,NA,164,375000,4713000,234,1,NA,NA,NA,NA,NA,NA,85,1,3,23,X
34,34,497,A,NA,164,357000,4712000,157,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,498,A,NA,164,358000,4712000,157,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,499,A,NA,164,366000,4712000,157,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,500,A,NA,164,374000,4712000,234,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,501,A,NA,164,375000,4712000,234,1,NA,NA,NA,NA,NA,NA,90,1,3,18,X
34,34,502,A,NA,164,356000,4711000,157,1,NA,NA,NA,NA,NA,NA,65,1,3,18,X
34,34,503,A,NA,164,374000,4711000,234,1,NA,NA,NA,NA,NA,NA,90,1,2,18,X
34,34,504,A,NA,164,348000,4710000,245,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,507,A,NA,164,348000,4709000,169,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,508,A,NA,164,369000,4709000,903,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,509,A,NA,164,348000,4708000,169,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,510,A,NA,164,358000,4708000,157,1,NA,NA,NA,NA,NA,NA,70,1,3,18,X
34,34,511,A,NA,164,360000,4708000,157,1,NA,NA,NA,NA,NA,NA,70,1,3,18,X
34,34,513,A,NA,164,368000,4708000,157,1,NA,NA,NA,NA,NA,NA,75,1,3,18,X
34,34,514,A,NA,164,369000,4708000,903,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,515,A,NA,164,370000,4708000,903,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,517,A,NA,164,371000,4707000,903,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,518,A,NA,165,382000,4724000,93,1,NA,NA,NA,NA,NA,NA,75,1,2,23,X
34,34,519,A,NA,165,383000,4724000,93,1,NA,NA,NA,NA,NA,NA,15,1,2,23,X
34,34,520,A,NA,165,384000,4724000,93,1,NA,NA,NA,NA,NA,NA,50,1,1,23,X
34,34,521,A,NA,165,377000,4722000,154,1,NA,NA,NA,NA,NA,NA,80,1,1,23,X
